date,AAPL,MSFT,GOOGL,META,AMZN,NVDA,ADBE,CRM,ORCL,INTC
2020-06-17 00:00:00+00:00,85.1089936722,184.6006279454,72.0285556984,233.7138765804,132.049,9.1941034861,413.49,178.7358857235,47.3703082341,53.919609322
2020-06-18 00:00:00+00:00,85.1428833138,186.5774056746,71.1151447108,234.1207151547,132.699,9.1761851381,420.46,184.9039488141,49.3655250211,53.5541432975
2020-06-19 00:00:00+00:00,84.656324887,185.4654682019,70.6450504566,236.9487393905,133.7505,9.2192389466,428.01,184.2043761633,50.0183378869,53.1441082457
2020-06-22 00:00:00+00:00,86.8712550389,190.6164947848,71.9353302556,237.3754237488,135.691,9.4835345806,438.64,188.8353500492,50.6803453001,53.563057103
2020-06-23 00:00:00+00:00,88.7255025759,191.8899958219,72.5958424356,240.3721371496,138.2205,9.4071327354,440.55,186.2833878439,50.744707132,53.4115224099
2020-06-24 00:00:00+00:00,87.1593169931,188.0219740152,71.0447297487,232.21551988,136.72,9.1936057542,431.68,182.8249371334,50.0551160766,52.6716765555
2020-06-25 00:00:00+00:00,88.3164061872,190.3979087859,71.4612689613,233.8627199612,137.729,9.4469512866,436.95,185.5739620572,50.1378670032,52.1546758379
2020-06-26 00:00:00+00:00,85.6028141651,186.5869094137,67.5656355634,214.4138515327,134.6435,9.1134709198,426.92,180.4798907827,49.816057844,51.2543814848
2020-06-29 00:00:00+00:00,87.5756754479,188.5921983602,69.2828680554,218.9386903099,134.019,9.15826679,424.2,180.6375409575,50.3493415935,51.9407445065
2020-06-30 00:00:00+00:00,88.3067234324,193.4105940752,70.3182655267,225.3191099015,137.941,9.4546661309,435.31,184.5787953285,50.8182635112,53.3312981606
2020-07-01 00:00:00+00:00,88.1396959128,194.5415390261,71.5058981626,235.7183007756,143.935,9.4867698379,439.81,189.0718253114,51.0205435542,52.4220900021
2020-07-02 00:00:00+00:00,88.1396959128,196.024122323,72.8908910445,231.6201463567,144.515,9.5686467339,442.95,189.7024260108,51.4342981874,52.7073317774
2020-07-06 00:00:00+00:00,90.4974466974,200.2437824758,74.3646464491,238.4272503067,152.852,9.7946170123,452.59,194.8162035571,52.0411383162,53.0727978019
2020-07-07 00:00:00+00:00,90.2166468093,197.9153664005,73.8821551945,239.0027780459,150.006,9.8269695852,449.36,193.4958833428,51.7744964414,51.9763997284
2020-07-08 00:00:00+00:00,92.3178045927,202.2680789004,74.560519055,241.701804685,154.0555,10.169657992,457.68,197.3386063545,52.0963056006,52.2438138926
2020-07-09 00:00:00+00:00,92.714797538,203.6841360238,75.3073143576,242.6147107541,159.1315,10.46132888,460.84,197.7918506072,52.8962312249,52.0744515886
2020-07-10 00:00:00+00:00,92.8769836803,203.0663929834,76.3164301881,243.1803156012,160.0,10.4317138325,466.2,195.9591673247,52.7675075612,53.0638839964
2020-07-13 00:00:00+00:00,92.448521782,196.7939251887,74.9884635079,237.1571201236,155.2,10.0066507978,442.47,185.5739620572,52.4181147598,52.2170724762
2020-07-14 00:00:00+00:00,93.9783970345,198.0104037913,75.4164079609,237.8814912437,154.2,10.3299276608,433.78,186.7760446403,52.8134802983,52.5736246952
2020-07-15 00:00:00+00:00,94.6247209149,197.7157878797,75.2190477149,238.4272503067,150.4435,10.1808569596,433.01,185.327633659,52.2779589945,52.6181937226
2020-07-16 00:00:00+00:00,93.4603696547,193.8002473776,75.121855232,239.0722382903,149.995,10.0887765598,426.29,182.7855245897,51.5393089204,52.7162455828
2020-07-17 00:00:00+00:00,93.2715559368,192.811858513,75.2175600749,240.1637564164,148.0985,10.1552237672,432.42,185.0221864452,50.6898613352,53.4828328537
2020-07-20 00:00:00+00:00,95.2371551536,201.0991189932,77.5477002653,243.5276168232,159.842,10.4630709416,455.27,192.2248288082,51.1515176315,54.5079204834
2020-07-21 00:00:00+00:00,93.9227211946,198.3905533546,77.1549632935,239.8859154388,156.9145,10.2816476674,444.28,187.9978334953,51.6224070538,54.106799237
2020-07-22 00:00:00+00:00,94.1865762619,201.2416750795,77.5977841469,238.0204117324,154.9955,10.3913975493,445.05,188.5003434276,51.714738313,54.4187824287
2020-07-23 00:00:00+00:00,89.8995365908,192.4887313842,75.2126012747,230.8064692082,149.3275,10.0837992409,431.74,185.7710247757,51.4839101649,53.8393850728
2020-07-24 00:00:00+00:00,89.6768332313,191.3102677379,74.7891197419,228.9310426097,150.4455,10.1482555207,430.31,185.7217590961,51.3823457797,45.0949419012
